time,ax,ay,az,gx,gy,gz
101611,-0.0108,-0.0117,-1.0109,-0.0534,-0.1220,0.3967
102620,0.0157,0.0018,-0.9874,-0.3356,-0.1831,-0.5569
103629,0.0072,0.0026,-0.9760,-1.5716,-0.1296,-0.7247
104638,0.0167,0.0121,-0.9716,0.0610,0.2899,1.1367
105647,-0.0045,0.0038,-1.0140,0.0839,0.3356,-0.5950
106656,-0.0030,-0.0059,-0.9948,-0.6027,-1.6021,1.3198
107665,-0.0030,0.0055,-0.9867,-0.7247,0.5493,-0.5340
108674,-0.0118,0.0009,-1.0045,-0.3051,-0.3890,-0.4501
109684,-0.0142,-0.0127,-0.9813,0.9460,0.0076,0.3128
110693,0.0028,0.0077,-0.9772,-0.8697,-1.1367,0.3509
111702,0.0174,0.0082,-1.0045,0.1678,0.2136,-0.3814
112711,0.0035,0.0101,-1.0062,-0.3738,-0.8010,0.1525
113720,0.0020,0.0160,-0.9984,-0.5950,-0.7324,1.2283
114730,0.0079,-0.0195,-0.9848,0.4196,-0.3356,-0.2212
